,contributions,percentile,extracredit
69,0,0.105,0.0
76,0,0.105,0.0
11,0,0.105,0.0
3,0,0.105,0.0
52,0,0.105,0.0
15,0,0.105,0.0
21,0,0.105,0.0
79,0,0.105,0.0
24,0,0.105,0.0
65,0,0.105,0.0
33,0,0.105,0.0
39,0,0.105,0.0
81,0,0.105,0.0
43,0,0.105,0.0
47,0,0.105,0.0
26,0,0.105,0.0
28,1,0.228,0.684
29,1,0.228,0.684
49,1,0.228,0.684
35,1,0.228,0.684
9,2,0.29,0.87
16,2,0.29,0.87
46,2,0.29,0.87
61,2,0.29,0.87
71,2,0.29,0.87
8,2,0.29,0.87
38,3,0.37,1.11
19,3,0.37,1.11
72,3,0.37,1.11
2,3,0.37,1.11
68,3,0.37,1.11
13,3,0.37,1.11
51,3,0.37,1.11
22,4,0.426,1.278
30,4,0.426,1.278
80,5,0.457,1.371
56,5,0.457,1.371
74,5,0.457,1.371
44,6,0.488,1.464
50,6,0.488,1.464
73,7,0.506,1.518
57,8,0.537,1.611
63,8,0.537,1.611
45,8,0.537,1.611
60,8,0.537,1.611
70,9,0.568,1.704
17,10,0.586,1.758
78,10,0.586,1.758
5,11,0.605,1.815
37,13,0.636,1.908
42,13,0.636,1.908
75,13,0.636,1.908
53,13,0.636,1.908
34,14,0.673,2.019
67,14,0.673,2.019
6,15,0.698,2.094
27,15,0.698,2.094
23,17,0.728,2.184
41,17,0.728,2.184
66,17,0.728,2.184
36,18,0.753,2.259
10,19,0.765,2.295
18,22,0.784,2.352
7,22,0.784,2.352
25,24,0.802,2.406
12,31,0.815,2.445
77,32,0.827,2.481
32,35,0.84,2.52
58,36,0.858,2.574
55,36,0.858,2.574
54,43,0.877,2.631
20,44,0.889,2.667
82,50,0.901,2.703
14,54,0.914,2.742
64,64,0.926,2.778
31,82,0.938,2.814
59,85,0.951,2.853
40,92,0.963,2.889
62,96,0.975,2.925
4,108,0.988,2.964
48,215,1.0,3.0
